symbol,days,start,end
RS,7373,1994-09-19,2023-12-29
RNR,7156,1995-07-28,2023-12-29
RGEN,9494,1986-04-30,2023-12-29
RSG,6416,1998-07-02,2023-12-29
RMD,7194,1995-06-05,2023-12-29
RVTY,12826,1973-02-22,2023-12-29
REXR,2630,2013-07-22,2023-12-29
REYN,985,2020-02-03,2023-12-29
RH,2807,2012-11-05,2023-12-29
RNG,2581,2013-09-30,2023-12-29
RBA,6495,1998-03-11,2023-12-29
RITM,2684,2013-05-03,2023-12-29
RIVN,536,2021-11-11,2023-12-29
RLI,11040,1980-03-18,2023-12-29
RHI,11040,1980-03-18,2023-12-29
HOOD,609,2021-07-30,2023-12-29
RBLX,707,2021-03-11,2023-12-29
RKT,855,2020-08-07,2023-12-29
ROK,10587,1982-01-04,2023-12-29
ROIV,769,2020-12-09,2023-12-29
ROKU,1573,2017-09-29,2023-12-29
ROL,11040,1980-03-18,2023-12-29
ROP,8028,1992-02-14,2023-12-29
ROST,9675,1985-08-09,2023-12-29
RCL,7724,1993-04-29,2023-12-29
RGLD,10730,1981-06-10,2023-12-29
RPRX,891,2020-06-17,2023-12-29
RPM,11040,1980-03-18,2023-12-29
RYAN,614,2021-07-23,2023-12-29
R,11092,1980-01-03,2023-12-29
SPGI,12826,1973-02-22,2023-12-29
SAIA,5362,2002-09-12,2023-12-29
SAIC,2590,2013-09-17,2023-12-29
CRM,4914,2004-06-24,2023-12-29
SLM,10149,1983-09-26,2023-12-29
SRPT,6687,1997-06-05,2023-12-29
SBAC,6175,1999-06-17,2023-12-29
HSIC,7086,1995-11-06,2023-12-29
SLB,10587,1982-01-04,2023-12-29
SNDR,1694,2017-04-07,2023-12-29
SMG,8037,1992-02-03,2023-12-29
SEB,12825,1973-02-23,2023-12-29
SEE,11040,1980-03-18,2023-12-29
SEIC,10782,1981-03-26,2023-12-29
SRE,6418,1998-06-30,2023-12-29
ST,3475,2010-03-12,2023-12-29
S,629,2021-07-01,2023-12-29
SCI,11040,1980-03-18,2023-12-29
NOW,2893,2012-07-02,2023-12-29
SHW,11040,1980-03-18,2023-12-29
FOUR,898,2020-06-08,2023-12-29
SWAV,1213,2019-03-08,2023-12-29
SLGN,6762,1997-02-18,2023-12-29
SPG,7564,1993-12-15,2023-12-29
SIRI,7376,1994-09-14,2023-12-29
SITE,1921,2016-05-13,2023-12-29
SKX,6180,1999-06-10,2023-12-29
SWKS,9907,1984-09-10,2023-12-29
SMAR,1428,2018-04-30,2023-12-29
AOS,10144,1983-10-03,2023-12-29
SJM,7342,1994-11-01,2023-12-29
SNA,12826,1973-02-22,2023-12-29
SNOW,827,2020-09-17,2023-12-29
SOFI,752,2021-01-05,2023-12-29
SON,11040,1980-03-18,2023-12-29
SHC,780,2020-11-23,2023-12-29
SO,10587,1982-01-04,2023-12-29
SCCO,7044,1996-01-08,2023-12-29
LUV,11092,1980-01-03,2023-12-29
SWN,11040,1980-03-18,2023-12-29
SPB,11345,1979-01-03,2023-12-29
SPR,4300,2006-11-29,2023-12-29
SRC,2836,2012-09-21,2023-12-29
SPLK,2943,2012-04-20,2023-12-29
SPOT,1446,2018-04-04,2023-12-29
SSNC,3461,2010-04-01,2023-12-29
SSRM,6899,1996-08-02,2023-12-29
STAG,3197,2011-04-18,2023-12-29
SWK,11040,1980-03-18,2023-12-29
SBUX,7935,1992-06-29,2023-12-29
STWD,3620,2009-08-13,2023-12-29
STT,11040,1980-03-18,2023-12-29
STLD,6819,1996-11-25,2023-12-29
SRCL,6883,1996-08-26,2023-12-29
STE,7954,1992-06-02,2023-12-29
SF,10196,1983-07-20,2023-12-29
SYK,11040,1980-03-18,2023-12-29
SUI,7567,1993-12-10,2023-12-29
RUN,2115,2015-08-06,2023-12-29
SYF,2370,2014-08-01,2023-12-29
SNPS,8020,1992-02-27,2023-12-29
SNV,8641,1989-09-13,2023-12-29
SYY,12773,1973-05-09,2023-12-29
TMUS,4204,2007-04-20,2023-12-29
TTWO,6722,1997-04-16,2023-12-29
TNDM,2547,2013-11-15,2023-12-29
TPR,5843,2000-10-09,2023-12-29
TRGP,3287,2010-12-08,2023-12-29
TGT,12826,1973-02-22,2023-12-29
SNX,5057,2003-11-26,2023-12-29
FTI,5670,2001-06-18,2023-12-29
TDOC,2140,2015-07-01,2023-12-29
TDY,6063,1999-11-24,2023-12-29
TFX,11040,1980-03-18,2023-12-29
TPX,5041,2003-12-19,2023-12-29
THC,11040,1980-03-18,2023-12-29
TDC,4090,2007-10-02,2023-12-29
TER,12826,1973-02-22,2023-12-29
TSLA,3399,2010-06-30,2023-12-29
TTEK,8068,1991-12-18,2023-12-29
TXN,13006,1972-06-02,2023-12-29
TPL,11040,1980-03-18,2023-12-29
TXRH,4842,2004-10-06,2023-12-29
TXT,12826,1973-02-22,2023-12-29
TMO,11040,1980-03-18,2023-12-29
TFSL,4202,2007-04-24,2023-12-29
THO,10075,1984-01-11,2023-12-29
TKR,12826,1973-02-22,2023-12-29
TJX,9200,1987-06-29,2023-12-29
TKO,6088,1999-10-20,2023-12-29
TOST,571,2021-09-23,2023-12-29
TOL,9446,1986-07-09,2023-12-29
BLD,2149,2015-06-18,2023-12-29
TTC,11040,1980-03-18,2023-12-29
TPG,492,2022-01-14,2023-12-29
TSCO,7518,1994-02-18,2023-12-29
TTD,1830,2016-09-22,2023-12-29
TW,1193,2019-04-05,2023-12-29
TT,11040,1980-03-18,2023-12-29
TDG,4479,2006-03-16,2023-12-29
TRU,2143,2015-06-26,2023-12-29
TNL,4392,2006-07-20,2023-12-29
TRV,12133,1975-11-18,2023-12-29
TREX,6223,1999-04-09,2023-12-29
TRMB,8425,1990-07-23,2023-12-29
TRIP,3034,2011-12-08,2023-12-29
TFC,11039,1980-03-19,2023-12-29
TWLO,1892,2016-06-24,2023-12-29
TYL,11040,1980-03-18,2023-12-29
TSN,11040,1980-03-18,2023-12-29
UHAL,7338,1994-11-07,2023-12-29
UHAL-B,284,2022-11-11,2023-12-29
X,8241,1991-04-15,2023-12-29
UBER,1168,2019-05-13,2023-12-29
UI,3071,2011-10-17,2023-12-29
UDR,11040,1980-03-18,2023-12-29
UGI,12826,1973-02-22,2023-12-29
PATH,678,2021-04-22,2023-12-29
ULTA,4072,2007-10-26,2023-12-29
RARE,2495,2014-02-03,2023-12-29
UAA,4557,2005-11-21,2023-12-29
UA,1956,2016-03-24,2023-12-29
UNP,11092,1980-01-03,2023-12-29
UAL,4505,2006-02-07,2023-12-29
UPS,6072,1999-11-11,2023-12-29
URI,6549,1997-12-19,2023-12-29
UTHR,6174,1999-06-18,2023-12-29
UWMC,922,2020-05-04,2023-12-29
UNH,9879,1984-10-18,2023-12-29
U,825,2020-09-21,2023-12-29
OLED,6977,1996-04-12,2023-12-29
UHS,10709,1981-07-10,2023-12-29
UNM,9360,1986-11-07,2023-12-29
USB,12776,1973-05-04,2023-12-29
USFD,1911,2016-05-27,2023-12-29
MTN,6770,1997-02-05,2023-12-29
VLO,10586,1982-01-05,2023-12-29
VMI,12826,1973-02-22,2023-12-29
VVV,1828,2016-09-26,2023-12-29
VEEV,2568,2013-10-17,2023-12-29
VTR,6708,1997-05-06,2023-12-29
VLTO,60,2023-10-05,2023-12-29
VRSN,6521,1998-02-02,2023-12-29
VRSK,3581,2009-10-08,2023-12-29
VZ,10108,1983-11-22,2023-12-29
VRTX,8170,1991-07-25,2023-12-29
VRT,1361,2018-08-03,2023-12-29
VSTS,61,2023-10-04,2023-12-29
VFC,11040,1980-03-18,2023-12-29
VSAT,6813,1996-12-04,2023-12-29
VTRS,11040,1980-03-18,2023-12-29
VICI,1508,2018-01-03,2023-12-29
VSCO,615,2021-07-22,2023-12-29
VIRT,2192,2015-04-17,2023-12-29
V,3973,2008-03-20,2023-12-29
VST,1820,2016-10-06,2023-12-29
VNT,821,2020-09-25,2023-12-29
VNO,11040,1980-03-18,2023-12-29
VOYA,2684,2013-05-03,2023-12-29
VMC,12826,1973-02-22,2023-12-29
WPC,6528,1998-01-22,2023-12-29
WAB,7184,1995-06-19,2023-12-29
WBA,11040,1980-03-18,2023-12-29
WMT,12946,1972-08-28,2023-12-29
WBD,4651,2005-07-11,2023-12-29
WM,8950,1988-06-23,2023-12-29
WAT,7076,1995-11-20,2023-12-29
WSO,9971,1984-06-08,2023-12-29
W,2326,2014-10-03,2023-12-29
WBS,9335,1986-12-15,2023-12-29
WEC,11040,1980-03-18,2023-12-29
WFC,13006,1972-06-02,2023-12-29
WELL,11038,1980-03-20,2023-12-29
WEN,11005,1980-05-07,2023-12-29
WCC,6199,1999-05-13,2023-12-29
WST,11040,1980-03-18,2023-12-29
WAL,4655,2005-07-05,2023-12-29
WDC,11387,1978-11-01,2023-12-29
WU,4340,2006-10-03,2023-12-29
WLK,4879,2004-08-13,2023-12-29
WRK,2144,2015-06-25,2023-12-29
WEX,4749,2005-02-17,2023-12-29
WY,12776,1973-05-04,2023-12-29
WHR,12826,1973-02-22,2023-12-29
WTM,9623,1985-10-24,2023-12-29
WMB,10587,1982-01-04,2023-12-29
WSM,10204,1983-07-08,2023-12-29
WTW,5673,2001-06-13,2023-12-29
WSC,2050,2015-11-06,2023-12-29
WING,2152,2015-06-15,2023-12-29
WTFC,6469,1998-04-17,2023-12-29
KLG,62,2023-10-03,2023-12-29
WOLF,7778,1993-02-10,2023-12-29
WWD,7488,1994-04-05,2023-12-29
WDAY,2820,2012-10-15,2023-12-29
WH,1412,2018-05-22,2023-12-29
WYNN,5330,2002-10-28,2023-12-29
XEL,12826,1973-02-22,2023-12-29
XP,1019,2019-12-12,2023-12-29
XPO,5092,2003-10-08,2023-12-29
XYL,3072,2011-10-14,2023-12-29
YETI,1302,2018-10-26,2023-12-29
YUM,6614,1997-09-18,2023-12-29
ZBRA,8154,1991-08-16,2023-12-29
ZG,3132,2011-07-21,2023-12-29
Z,2117,2015-08-04,2023-12-29
ZBH,5643,2001-07-26,2023-12-29
ZION,11040,1980-03-18,2023-12-29
ZTS,2746,2013-02-04,2023-12-29
ZM,1183,2019-04-22,2023-12-29
ZI,899,2020-06-05,2023-12-29
ZS,1457,2018-03-19,2023-12-29
